epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.213,1.26059,6.28176,0.00908,0.74131,0.46347,0.70984,0.42609,1.41432,3.02483,0.01279,0.000549818,0.000549818,0.000549818
2,91.0399,1.29019,3.92356,0.00934,0.80329,0.76395,0.86145,0.50023,1.50539,1.72393,0.01509,0.000996041,0.000996041,0.000996041
3,122.357,1.22493,2.47616,0.00865,0.84025,0.76025,0.87441,0.44437,1.57341,0.85216,0.01343,0.00133224,0.00133224,0.00133224
4,153.415,1.21607,1.56687,0.00857,0.86068,0.82913,0.90444,0.56993,1.21522,0.62057,0.00932,0.0011719,0.0011719,0.0011719
5,184.185,1.16976,1.18494,0.00813,0.89761,0.86262,0.93527,0.62105,1.11448,0.59324,0.0081,0.00100687,0.00100687,0.00100687
6,215.127,1.17515,0.91702,0.00781,0.89959,0.87355,0.9416,0.57879,1.22372,0.51238,0.00839,0.000841835,0.000841835,0.000841835
7,245.825,1.1636,0.79842,0.00807,0.89574,0.86045,0.94313,0.64431,1.01503,0.47598,0.0063,0.000676802,0.000676802,0.000676802
8,277.001,1.06753,0.68602,0.00729,0.89045,0.89466,0.95357,0.66667,0.9435,0.40834,0.00536,0.000511769,0.000511769,0.000511769
9,307.831,1.05211,0.65295,0.00688,0.90058,0.90481,0.9546,0.66653,0.99628,0.40756,0.00656,0.000346736,0.000346736,0.000346736
10,338.569,1.0225,0.60902,0.00646,0.91573,0.90013,0.96172,0.70145,0.88963,0.37841,0.00531,0.000181703,0.000181703,0.000181703
