epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,66.5558,1.23733,2.88496,0.00634,0.71785,0.6341,0.72266,0.40069,1.43117,2.65193,0.01212,0.00993103,0.00331034,0.00993103,0.00331034,0.00993103,0.00331034,0.00993103,0.00331034
2,117.196,1.18817,1.26716,0.00615,0.87217,0.84928,0.90648,0.52426,1.46344,0.72072,0.01335,0.0199113,0.0066371,0.0199113,0.0066371,0.0199113,0.0066371,0.0199113,0.0066371
3,158.97,1.21583,0.88505,0.0063,0.81329,0.79883,0.87679,0.49594,1.61478,0.78705,0.01437,0.0298718,0.00995726,0.0298718,0.00995726,0.0298718,0.00995726,0.0298718,0.00995726
4,200.989,1.22092,0.72951,0.00627,0.86481,0.82036,0.89996,0.60387,1.1961,0.66799,0.01173,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
5,242.983,1.19863,0.65783,0.00636,0.85613,0.81693,0.88967,0.51195,1.55102,0.7465,0.01332,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
6,285.089,1.16417,0.61353,0.00614,0.86522,0.87623,0.92815,0.48099,1.70508,0.70906,0.01698,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
7,327.103,1.15027,0.58918,0.0061,0.90244,0.87435,0.93983,0.55545,1.38238,0.58975,0.01429,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
8,368.961,1.1271,0.5732,0.00591,0.90779,0.87556,0.9315,0.56525,1.39381,0.60158,0.0125,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
9,410.76,1.10341,0.55581,0.00598,0.94698,0.88791,0.94655,0.58284,1.39461,0.48763,0.01265,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
10,452.888,1.09369,0.52367,0.00589,0.91759,0.87676,0.92629,0.59757,1.31717,0.52952,0.01256,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
11,494.962,1.07841,0.52657,0.00575,0.90241,0.88635,0.93566,0.60079,1.28391,0.50054,0.01159,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
12,536.838,1.07143,0.51652,0.00572,0.89926,0.89775,0.93433,0.58833,1.33534,0.52543,0.01332,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911
13,578.65,1.07058,0.51278,0.00568,0.93657,0.90682,0.94308,0.60771,1.28746,0.46892,0.01298,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
14,620.693,1.05335,0.50019,0.00554,0.93701,0.90742,0.95254,0.63355,1.22243,0.45003,0.01108,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713
15,662.504,1.04633,0.50051,0.00549,0.89284,0.9119,0.94705,0.57161,1.46744,0.54005,0.01299,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
16,704.565,1.03055,0.48649,0.00551,0.91413,0.89649,0.94073,0.60302,1.26261,0.49008,0.011,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
17,746.523,1.02712,0.48241,0.0054,0.92498,0.87945,0.93934,0.61925,1.22938,0.46875,0.01091,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
18,788.416,1.00198,0.47021,0.00526,0.9193,0.87103,0.94008,0.61047,1.19981,0.50951,0.01101,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317
19,830.368,1.00741,0.47624,0.00537,0.93924,0.90734,0.95879,0.6498,1.15439,0.40733,0.01089,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
20,872.364,0.98483,0.46536,0.00532,0.95836,0.90911,0.95488,0.61705,1.23397,0.45412,0.01139,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119
21,914.239,0.98709,0.46061,0.00527,0.96092,0.90745,0.9624,0.63406,1.22579,0.42766,0.01034,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
22,956.335,0.97657,0.44895,0.00513,0.91534,0.92172,0.95678,0.65268,1.16499,0.45334,0.01009,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921
23,998.036,0.97623,0.453,0.00509,0.90878,0.90275,0.94915,0.6093,1.23315,0.49387,0.01052,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
24,1040.01,0.96421,0.45075,0.00514,0.92654,0.89352,0.95579,0.63978,1.19597,0.48753,0.01024,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723
25,1082.04,0.97306,0.45328,0.00511,0.94934,0.91746,0.96582,0.63,1.23747,0.42052,0.01099,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
26,1124.08,0.94483,0.43726,0.00502,0.93104,0.93001,0.96278,0.62875,1.22473,0.42049,0.01077,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
27,1166.31,0.95372,0.44683,0.00508,0.95393,0.91977,0.96947,0.67355,1.13702,0.38839,0.01014,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
28,1208.35,0.95408,0.43183,0.00503,0.95893,0.92557,0.96313,0.64836,1.20732,0.39987,0.01058,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327
29,1250.17,0.95729,0.43441,0.00511,0.95229,0.92592,0.96503,0.63673,1.23063,0.46502,0.01019,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
30,1292.17,0.9414,0.43142,0.00513,0.93524,0.89133,0.95832,0.63075,1.1563,0.46453,0.01064,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129
31,1333.91,0.94295,0.43421,0.00497,0.94649,0.94236,0.96683,0.65665,1.16138,0.37125,0.00981,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
32,1376.18,0.94416,0.43236,0.00509,0.94675,0.94398,0.9701,0.64877,1.22867,0.40179,0.01022,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931
33,1418.11,0.91591,0.41902,0.00494,0.97321,0.92916,0.97214,0.63144,1.28368,0.38905,0.01163,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
34,1460.13,0.93467,0.42644,0.00487,0.93736,0.95086,0.97081,0.67428,1.06383,0.36347,0.00942,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733
35,1501.99,0.91815,0.41835,0.00491,0.95305,0.92668,0.9654,0.68886,1.04304,0.3765,0.00929,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
36,1544.03,0.9289,0.42495,0.00506,0.95073,0.90777,0.96167,0.66416,1.12516,0.40884,0.00958,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
37,1585.98,0.92003,0.41664,0.0049,0.97739,0.92475,0.96992,0.67049,1.127,0.36872,0.00983,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
38,1628.27,0.92593,0.42436,0.00498,0.94708,0.92567,0.96705,0.66012,1.19293,0.39957,0.00979,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337
39,1670.02,0.91013,0.4091,0.00483,0.93427,0.91391,0.95758,0.65151,1.16697,0.41058,0.0102,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
40,1712.13,0.90657,0.41106,0.00478,0.96525,0.93963,0.97201,0.67732,1.11295,0.3556,0.00927,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139
41,1753.87,0.89996,0.40986,0.00473,0.96079,0.94101,0.97249,0.67155,1.13276,0.35465,0.00964,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
42,1795.87,0.89996,0.40412,0.00493,0.95385,0.92704,0.96867,0.6805,1.09811,0.36842,0.00939,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941
43,1837.79,0.89465,0.40407,0.00478,0.96088,0.93296,0.97223,0.68218,1.09019,0.36939,0.00905,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
